FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_RACE_AFRAME_CNT,WPI_RACE_AFRAME_PCT,WPI_RACE_ASIAN_CNT,WPI_RACE_ASIAN_PCT,WPI_RACE_HISPANIC_CNT,WPI_RACE_HISPANIC_PCT,WPI_RACE_WHITE_CNT,WPI_RACE_WHITE_PCT,WPI_RACE_NATAME_CNT,WPI_RACE_NATAME_PCT,WPI_RACE_NATHPI_CNT,WPI_RACE_NATHPI_PCT,WPI_RACE_MULTINH_CNT,WPI_RACE_MULTINH_PCT,WPI_GNDR_MALE_CNT,WPI_GNDR_MALE_PCT,WPI_GNDR_FEMALE_CNT,WPI_GNDR_FEMALE_PCT,WPI_GNDR_TOTAL_CNT
1996,AGASSIZ,490005,6,64,20.60%,55,17.70%,19,6.10%,171,55.20%,1,0.30%,,,,,164,52.90%,146,47.10%,310
1996,NEW SCHOOL/CAMBRIDGEPORT,490007,6,62,30.20%,9,4.40%,20,9.80%,112,54.60%,2,1%,,,,,124,60.50%,81,39.50%,205
1996,M E FITZGERALD,490010,6,202,44.10%,65,14.20%,33,7.20%,158,34.50%,0,0%,,,,,224,48.90%,234,51.10%,458
1996,FLETCHER,490015,6,133,40.90%,9,2.80%,53,16.30%,130,40%,0,0%,,,,,177,54.50%,148,45.50%,325
1996,HAGGERTY,490020,6,128,49.80%,14,5.40%,10,3.90%,104,40.50%,1,0.40%,,,,,137,53.30%,120,46.70%,257
1996,CHARLES G HARRINGTON,490025,6,215,33.30%,23,3.60%,84,13%,322,49.80%,2,0.30%,,,,,325,50.30%,321,49.70%,646
1996,KING,490030,6,138,40.70%,59,17.40%,30,8.80%,110,32.40%,2,0.60%,,,,,173,51%,166,49%,339
1996,KING OPEN,490035,6,102,32.20%,35,11%,21,6.60%,158,49.80%,1,0.30%,,,,,144,45.40%,173,54.60%,317
1996,LONGFELLOW,490040,6,99,18.30%,31,5.70%,225,41.60%,185,34.20%,1,0.20%,,,,,263,48.60%,278,51.40%,541
1996,MORSE,490045,6,76,29.20%,66,25.40%,19,7.30%,99,38.10%,0,0%,,,,,129,49.60%,131,50.40%,260
1996,PEABODY,490050,6,126,29.40%,73,17.10%,20,4.70%,207,48.40%,2,0.50%,,,,,218,50.90%,210,49.10%,428
1996,ROBERT F KENNEDY,490055,6,129,33.90%,8,2.10%,112,29.50%,131,34.50%,0,0%,,,,,179,47.10%,201,52.90%,380
1996,MAYNARD,490060,6,129,30.60%,15,3.60%,130,30.80%,147,34.80%,1,0.20%,,,,,209,49.50%,213,50.50%,422
1996,JOHN M TOBIN,490065,6,294,39.10%,65,8.60%,39,5.20%,354,47.10%,0,0%,,,,,397,52.80%,355,47.20%,752
1996,GRAHAM/PARKS NEW ALTERN,490080,6,168,46%,12,3.30%,21,5.80%,159,43.60%,5,1.40%,,,,,178,48.80%,187,51.20%,365
1997,CAMBRIDGE,490000,5,2735,34.30%,754,9.50%,1154,14.50%,3289,41.30%,33,0.40%,,,,,4085,51.30%,3880,48.70%,7965
1997,AGASSIZ,490005,6,83,24.30%,72,21.10%,21,6.10%,165,48.20%,1,0.30%,,,,,168,49.10%,174,50.90%,342
1997,NEW SCHOOL/CAMBRIDGEPORT,490007,6,64,30.80%,12,5.80%,21,10.10%,108,51.90%,3,1.40%,,,,,117,56.30%,91,43.80%,208
1997,M E FITZGERALD,490010,6,193,42.50%,54,11.90%,32,7%,175,38.50%,0,0%,,,,,217,47.80%,237,52.20%,454
1997,FLETCHER,490015,6,128,40.80%,5,1.60%,49,15.60%,131,41.70%,1,0.30%,,,,,185,58.90%,129,41.10%,314
1997,HAGGERTY,490020,6,108,40.90%,19,7.20%,14,5.30%,121,45.80%,2,0.80%,,,,,140,53%,124,47%,264
1997,CHARLES G HARRINGTON,490025,6,224,35%,31,4.80%,76,11.90%,307,48%,2,0.30%,,,,,325,50.80%,315,49.20%,640
1997,KING,490030,6,119,39.70%,55,18.30%,24,8%,100,33.30%,2,0.70%,,,,,147,49%,153,51%,300
1997,KING OPEN,490035,6,100,29.10%,54,15.70%,26,7.60%,163,47.40%,1,0.30%,,,,,162,47.10%,182,52.90%,344
1997,LONGFELLOW,490040,6,92,16.70%,35,6.40%,229,41.60%,193,35%,2,0.40%,,,,,268,48.60%,283,51.40%,551
1997,MORSE,490045,6,70,27.50%,70,27.50%,20,7.80%,95,37.30%,0,0%,,,,,122,47.80%,133,52.20%,255
1997,PEABODY,490050,6,112,25.90%,92,21.30%,23,5.30%,201,46.50%,4,0.90%,,,,,218,50.50%,214,49.50%,432
1997,ROBERT F KENNEDY,490055,6,126,32.60%,8,2.10%,115,29.70%,138,35.70%,0,0%,,,,,179,46.30%,208,53.70%,387
1997,MAYNARD,490060,6,118,30.10%,13,3.30%,126,32.10%,133,33.90%,2,0.50%,,,,,197,50.30%,195,49.70%,392
1997,JOHN M TOBIN,490065,6,283,39.60%,60,8.40%,42,5.90%,325,45.50%,4,0.60%,,,,,388,54.30%,326,45.70%,714
1997,GRAHAM/PARKS NEW ALTERN,490080,6,165,44.40%,22,5.90%,24,6.50%,156,41.90%,5,1.30%,,,,,189,50.80%,183,49.20%,372
1998,CAMBRIDGE,490000,5,2637,34.30%,765,10%,1096,14.30%,3146,41%,35,0.50%,,,,,3973,51.70%,3706,48.30%,7679
1998,AGASSIZ,490005,6,72,21.20%,74,21.80%,29,8.50%,162,47.60%,3,0.90%,,,,,162,47.60%,178,52.40%,340
1998,NEW SCHOOL/CAMBRIDGEPORT,490007,6,78,34.40%,19,8.40%,23,10.10%,105,46.30%,2,0.90%,,,,,119,52.40%,108,47.60%,227
1998,M E FITZGERALD,490010,6,177,43%,59,14.30%,29,7%,147,35.70%,0,0%,,,,,214,51.90%,198,48.10%,412
1998,FLETCHER,490015,6,133,41.30%,7,2.20%,49,15.20%,132,41%,1,0.30%,,,,,182,56.50%,140,43.50%,322
1998,HAGGERTY,490020,6,106,39.70%,25,9.40%,9,3.40%,126,47.20%,1,0.40%,,,,,141,52.80%,126,47.20%,267
1998,CHARLES G HARRINGTON,490025,6,239,39%,23,3.80%,64,10.40%,284,46.30%,3,0.50%,,,,,317,51.70%,296,48.30%,613
1998,KING,490030,6,98,36.80%,54,20.30%,20,7.50%,93,35%,1,0.40%,,,,,119,44.70%,147,55.30%,266
1998,KING OPEN,490035,6,105,30%,49,14%,28,8%,167,47.70%,1,0.30%,,,,,169,48.30%,181,51.70%,350
1998,LONGFELLOW,490040,6,98,19.50%,40,8%,175,34.80%,185,36.80%,5,1%,,,,,253,50.30%,250,49.70%,503
1998,MORSE,490045,6,70,26.90%,71,27.30%,19,7.30%,100,38.50%,0,0%,,,,,124,47.70%,136,52.30%,260
1998,PEABODY,490050,6,99,24.30%,95,23.30%,17,4.20%,193,47.30%,4,1%,,,,,209,51.20%,199,48.80%,408
1998,ROBERT F KENNEDY,490055,6,112,20.50%,13,2.40%,242,44.20%,179,32.70%,1,0.20%,,,,,278,50.80%,269,49.20%,547
1998,MAYNARD,490060,6,86,47.80%,5,2.80%,39,21.70%,49,27.20%,1,0.60%,,,,,94,52.20%,86,47.80%,180
1998,JOHN M TOBIN,490065,6,274,40.70%,56,8.30%,54,8%,287,42.60%,2,0.30%,,,,,358,53.20%,315,46.80%,673
1998,GRAHAM/PARKS NEW ALTERN,490080,6,174,45.10%,22,5.70%,26,6.70%,157,40.70%,7,1.80%,,,,,200,51.80%,186,48.20%,386
1999,Cambridge,490000,5,2561,34.40%,753,10.10%,1086,14.60%,3009,40.40%,37,0.50%,,,,,3832,51.50%,3614,48.50%,7446
1999,Maria L. Baldwin,490005,6,93,28.10%,59,17.80%,27,8.20%,148,44.70%,4,1.20%,,,,,171,51.70%,160,48.30%,331
1999,Cambridgeport,490007,6,77,31.30%,19,7.70%,27,11%,121,49.20%,2,0.80%,,,,,126,51.20%,120,48.80%,246
1999,M E Fitzgerald,490010,6,,,,,,,,,,,,,,,0,0%,0,0%,345
1999,Fletcher,490015,6,,,,,,,,,,,,,,,0,0%,0,0%,269
1999,Haggerty,490020,6,96,37.90%,23,9.10%,16,6.30%,115,45.50%,3,1.20%,,,,,125,49.40%,128,50.60%,253
1999,Charles G Harrington,490025,6,,,,,,,,,,,,,,,0,0%,0,0%,603
1999,King,490030,6,93,32.70%,79,27.80%,23,8.10%,88,31%,1,0.40%,,,,,145,51.10%,139,48.90%,284
1999,King Open,490035,6,103,30.70%,43,12.80%,25,7.50%,162,48.40%,2,0.60%,,,,,166,49.60%,169,50.40%,335
1999,Kennedy-Longfellow,490040,6,95,20.10%,42,8.90%,151,31.90%,183,38.70%,2,0.40%,,,,,259,54.80%,214,45.20%,473
1999,Morse,490045,6,73,26.40%,65,23.60%,19,6.90%,119,43.10%,,,,,,,135,48.90%,141,51.10%,276
1999,Peabody,490050,6,85,21%,94,23.30%,22,5.40%,200,49.50%,3,0.70%,,,,,202,50%,202,50%,404
1999,Robert F Kennedy,490055,6,,,,,,,,,,,,,,,0,0%,0,0%,553
1999,Maynard,490060,6,,,,,,,,,,,,,,,0,0%,0,0%,186
1999,John M Tobin,490065,6,269,44%,62,10.10%,56,9.20%,223,36.40%,2,0.30%,,,,,318,52%,294,48%,612
1999,Graham and Parks,490080,6,150,41.60%,23,6.40%,24,6.60%,160,44.30%,4,1.10%,,,,,183,50.70%,178,49.30%,361
2000,CAMBRIDGE,490000,5,2533,34.70%,722,9.90%,1058,14.50%,2941,40.30%,40,0.50%,,,,,3764,51.60%,3530,48.40%,7294
2000,AGASSIZ,490005,6,95,28.40%,57,17.10%,27,8.10%,151,45.20%,4,1.20%,,,,,181,54.20%,153,45.80%,334
2000,CAMBRIDGEPORT,490007,6,78,29.20%,24,9%,25,9.40%,137,51.30%,3,1.10%,,,,,132,49.40%,135,50.60%,267
2000,M E FITZGERALD,490010,6,120,41.10%,39,13.40%,22,7.50%,111,38%,0,0%,,,,,152,52.10%,140,47.90%,292
2000,FLETCHER,490015,6,113,50%,1,0.40%,37,16.40%,74,32.70%,1,0.40%,,,,,118,52.20%,108,47.80%,226
2000,HAGGERTY,490020,6,87,36.10%,24,10%,16,6.60%,111,46.10%,3,1.20%,,,,,123,51%,118,49%,241
2000,CHARLES G HARRINGTON,490025,6,208,36.90%,19,3.40%,67,11.90%,267,47.30%,3,0.50%,,,,,286,50.70%,278,49.30%,564
2000,KING,490030,6,111,37.60%,73,24.70%,23,7.80%,87,29.50%,1,0.30%,,,,,135,45.80%,160,54.20%,295
2000,KING OPEN,490035,6,100,30.20%,38,11.50%,26,7.90%,165,49.80%,2,0.60%,,,,,168,50.80%,163,49.20%,331
2000,LONGFELLOW,490040,6,106,24%,35,7.90%,128,29%,170,38.50%,2,0.50%,,,,,244,55.30%,197,44.70%,441
2000,MORSE,490045,6,87,27.40%,78,24.50%,27,8.50%,126,39.60%,0,0%,,,,,165,51.90%,153,48.10%,318
2000,PEABODY,490050,6,97,24.40%,81,20.40%,23,5.80%,189,47.50%,8,2%,,,,,207,52%,191,48%,398
2000,ROBERT F KENNEDY,490055,6,115,20.90%,19,3.50%,244,44.40%,169,30.80%,2,0.40%,,,,,270,49.20%,279,50.80%,549
2000,MAYNARD,490060,6,90,51.40%,3,1.70%,42,24%,39,22.30%,1,0.60%,,,,,94,53.70%,81,46.30%,175
2000,JOHN M TOBIN,490065,6,241,42.80%,60,10.70%,44,7.80%,216,38.40%,2,0.40%,,,,,299,53.10%,264,46.90%,563
2000,GRAHAM & PARKS,490080,6,148,40.80%,28,7.70%,25,6.90%,158,43.50%,4,1.10%,,,,,184,50.70%,179,49.30%,363
2001,CAMBRIDGE                     ,490000,5,2497,35.10%,730,10.30%,999,14.10%,2846,40%,38,0.50%,,,,,3661,51.50%,3449,48.50%,7110
2001,Agassiz                             ,490005,6,113,29.50%,63,16.40%,33,8.60%,168,43.90%,6,1.60%,,,,,206,53.80%,177,46.20%,383
2001,Cambridgeport                       ,490007,6,92,30.70%,25,8.30%,31,10.30%,149,49.70%,3,1%,,,,,151,50.30%,149,49.70%,300
2001,M E Fitzgerald                      ,490010,6,108,38.60%,31,11.10%,18,6.40%,122,43.60%,1,0.40%,,,,,141,50.40%,139,49.60%,280
2001,Haggerty                            ,490020,6,83,34.90%,21,8.80%,17,7.10%,114,47.90%,3,1.30%,,,,,121,50.80%,117,49.20%,238
2001,Charles G Harrington                ,490025,6,193,35.30%,19,3.50%,63,11.50%,271,49.50%,1,0.20%,,,,,280,51.20%,267,48.80%,547
2001,King                                ,490030,6,116,44.80%,53,20.50%,25,9.70%,65,25.10%,0,0%,,,,,128,49.40%,131,50.60%,259
2001,King Open                           ,490035,6,97,30.10%,46,14.30%,17,5.30%,160,49.70%,2,0.60%,,,,,157,48.80%,165,51.20%,322
2001,Longfellow                          ,490040,6,114,27.80%,41,10%,109,26.60%,144,35.10%,2,0.50%,,,,,224,54.60%,186,45.40%,410
2001,Morse                               ,490045,6,107,30.80%,90,25.90%,28,8.10%,121,34.90%,1,0.30%,,,,,186,53.60%,161,46.40%,347
2001,Peabody                             ,490050,6,102,25.80%,90,22.70%,14,3.50%,185,46.70%,5,1.30%,,,,,200,50.50%,196,49.50%,396
2001,Robert F Kennedy                    ,490055,6,121,22.30%,16,2.90%,230,42.40%,173,31.90%,3,0.60%,,,,,266,49%,277,51%,543
2001,John M Tobin                        ,490065,6,215,42.30%,67,13.20%,51,10%,173,34.10%,2,0.40%,,,,,271,53.30%,237,46.70%,508
2001,Graham & Parks                      ,490080,6,131,38%,28,8.10%,24,7%,158,45.80%,4,1.20%,,,,,178,51.60%,167,48.40%,345
2001,Fletcher/Maynard Academy            ,490090,6,146,52%,10,3.60%,54,19.20%,70,24.90%,1,0.40%,,,,,152,54.10%,129,45.90%,281
2002,Cambridge,490000,5,2522,35.80%,733,10.40%,994,14.10%,2759,39.20%,38,0.50%,,,,,3625,51.40%,3421,48.60%,7046
2002,Maria L. Baldwin,490005,6,119,31.20%,57,15%,32,8.40%,171,44.90%,2,0.50%,,,,,195,51.20%,186,48.80%,381
2002,Amigos School,490006,6,22,8.10%,2,0.70%,190,69.60%,56,20.50%,3,1.10%,,,,,135,49.50%,138,50.50%,273
2002,Cambridgeport,490007,6,89,30.20%,26,8.80%,35,11.90%,142,48.10%,3,1%,,,,,154,52.20%,141,47.80%,295
2002,M E Fitzgerald,490010,6,162,40.80%,43,10.80%,23,5.80%,167,42.10%,2,0.50%,,,,,210,52.90%,187,47.10%,397
2002,Haggerty,490020,6,53,30.80%,16,9.30%,13,7.60%,88,51.20%,2,1.20%,,,,,83,48.30%,89,51.70%,172
2002,Charles G Harrington,490025,6,170,38.70%,13,3%,52,11.80%,203,46.20%,1,0.20%,,,,,237,54%,202,46%,439
2002,King,490030,6,121,44.60%,61,22.50%,23,8.50%,66,24.40%,0,0%,,,,,124,45.80%,147,54.20%,271
2002,King Open,490035,6,96,28.20%,50,14.70%,19,5.60%,173,50.90%,2,0.60%,,,,,160,47.10%,180,52.90%,340
2002,Kennedy-Longfellow,490040,6,134,33.70%,43,10.80%,59,14.80%,160,40.20%,2,0.50%,,,,,197,49.50%,201,50.50%,398
2002,Morse,490045,6,114,30.80%,91,24.60%,29,7.80%,135,36.50%,1,0.30%,,,,,206,55.70%,164,44.30%,370
2002,Peabody,490050,6,91,22.80%,93,23.30%,21,5.30%,190,47.50%,5,1.30%,,,,,203,50.80%,197,49.30%,400
2002,Robert F Kennedy,490055,6,91,33.30%,13,4.80%,62,22.70%,107,39.20%,0,0%,,,,,133,48.70%,140,51.30%,273
2002,John M Tobin,490065,6,223,45.10%,64,12.90%,54,10.90%,153,30.90%,1,0.20%,,,,,273,55.20%,222,44.80%,495
2002,Graham and Parks,490080,6,153,40.50%,25,6.60%,27,7.10%,167,44.20%,6,1.60%,,,,,200,52.90%,178,47.10%,378
2002,Fletcher/Maynard Academy,490090,6,135,50%,6,2.20%,64,23.70%,64,23.70%,1,0.40%,,,,,147,54.40%,123,45.60%,270
2003,Cambridge,490000,5,2561,37.80%,688,10.20%,953,14.10%,2530,37.30%,43,0.60%,,,,,3475,51.30%,3300,48.70%,6775
2003,Maria L. Baldwin,490005,6,117,31.70%,64,17.30%,29,7.90%,155,42%,4,1.10%,,,,,183,49.60%,186,50.40%,369
2003,Amigos School,490006,6,25,8.40%,1,0.30%,208,70%,58,19.50%,5,1.70%,,,,,136,45.80%,161,54.20%,297
2003,Cambridgeport,490007,6,104,33.10%,27,8.60%,29,9.20%,150,47.80%,4,1.30%,,,,,177,56.40%,137,43.60%,314
2003,M E Fitzgerald,490010,6,161,43.60%,39,10.60%,28,7.60%,139,37.70%,2,0.50%,,,,,193,52.30%,176,47.70%,369
2003,Haggerty,490020,6,57,30.30%,19,10.10%,12,6.40%,99,52.70%,1,0.50%,,,,,88,46.80%,100,53.20%,188
2003,Charles G Harrington,490025,6,136,36.70%,8,2.20%,58,15.60%,168,45.30%,1,0.30%,,,,,204,55%,167,45%,371
2003,King,490030,6,127,48.80%,66,25.40%,19,7.30%,48,18.50%,0,0%,,,,,122,46.90%,138,53.10%,260
2003,King Open,490035,6,86,25.40%,42,12.40%,22,6.50%,185,54.60%,4,1.20%,,,,,163,48.10%,176,51.90%,339
2003,Kennedy-Longfellow,490040,6,143,38.10%,32,8.50%,51,13.60%,147,39.20%,2,0.50%,,,,,202,53.90%,173,46.10%,375
2003,Morse,490045,6,135,35.80%,80,21.20%,27,7.20%,132,35%,3,0.80%,,,,,204,54.10%,173,45.90%,377
2003,Peabody,490050,6,97,26.30%,67,18.20%,28,7.60%,172,46.60%,5,1.40%,,,,,200,54.20%,169,45.80%,369
2003,Robert F Kennedy,490055,6,79,33.10%,16,6.70%,47,19.70%,97,40.60%,0,0%,,,,,107,44.80%,132,55.20%,239
2003,John M Tobin,490065,6,212,51.70%,48,11.70%,48,11.70%,101,24.60%,1,0.20%,,,,,224,54.60%,186,45.40%,410
2003,Graham and Parks,490080,6,157,43.60%,24,6.70%,19,5.30%,155,43.10%,5,1.40%,,,,,188,52.20%,172,47.80%,360
2003,Fletcher/Maynard Academy,490090,6,137,55%,9,3.60%,56,22.50%,46,18.50%,1,0.40%,,,,,135,54.20%,114,45.80%,249
2004,Cambridge,490000,5,2460,38.20%,661,10.30%,934,14.50%,2340,36.40%,42,0.70%,,,,,3322,51.60%,3115,48.40%,6437
2004,Maria L. Baldwin,490005,6,127,33.20%,60,15.70%,26,6.80%,167,43.70%,2,0.50%,,,,,198,51.80%,184,48.20%,382
2004,Amigos School,490006,6,23,7.70%,4,1.30%,203,67.90%,65,21.70%,4,1.30%,,,,,141,47.20%,158,52.80%,299
2004,Cambridgeport,490007,6,120,36.30%,33,10%,37,11.20%,134,40.50%,7,2.10%,,,,,173,52.30%,158,47.70%,331
2004,Haggerty,490020,6,63,30.30%,21,10.10%,15,7.20%,107,51.40%,2,1%,,,,,106,51%,102,49%,208
2004,King,490030,6,127,49.40%,58,22.60%,26,10.10%,46,17.90%,0,0%,,,,,117,45.50%,140,54.50%,257
2004,King Open,490035,6,166,29.10%,41,7.20%,60,10.50%,297,52.10%,6,1.10%,,,,,287,50.40%,283,49.60%,570
2004,Kennedy-Longfellow,490040,6,166,37%,36,8%,79,17.60%,165,36.70%,3,0.70%,,,,,223,49.70%,226,50.30%,449
2004,Morse,490045,6,163,37%,66,15%,40,9.10%,169,38.40%,2,0.50%,,,,,233,53%,207,47%,440
2004,Peabody,490050,6,207,37.70%,76,13.80%,41,7.50%,221,40.30%,4,0.70%,,,,,290,52.80%,259,47.20%,549
2004,John M Tobin,490065,6,224,54.10%,62,15%,35,8.50%,93,22.50%,0,0%,,,,,224,54.10%,190,45.90%,414
2004,Graham and Parks,490080,6,144,34%,34,8%,33,7.80%,210,49.60%,2,0.50%,,,,,222,52.50%,201,47.50%,423
2004,Fletcher/Maynard Academy,490090,6,134,57.80%,11,4.70%,54,23.30%,32,13.80%,1,0.40%,,,,,129,55.60%,103,44.40%,232
2005,Cambridge,490000,5,2418,39.10%,652,10.50%,913,14.80%,2161,35%,39,0.60%,,,,,3232,52.30%,2951,47.70%,6183
2005,Maria L. Baldwin,490005,6,142,36.50%,48,12.30%,36,9.30%,163,41.90%,,0%,,,,,206,53%,183,47%,389
2005,Amigos School,490006,6,25,8.40%,9,3%,188,63.30%,71,23.90%,4,1.30%,,,,,136,45.80%,161,54.20%,297
2005,Cambridgeport,490007,6,105,33.40%,27,8.60%,35,11.10%,140,44.60%,7,2.20%,,,,,153,48.70%,161,51.30%,314
2005,Haggerty,490020,6,64,28.70%,20,9%,17,7.60%,120,53.80%,2,0.90%,,,,,116,52%,107,48%,223
2005,"Martin Luther King, Jr.",490030,6,113,53.10%,48,22.50%,19,8.90%,33,15.50%,,0%,,,,,114,53.50%,99,46.50%,213
2005,King Open,490035,6,152,29.20%,44,8.50%,57,11%,262,50.40%,5,1%,,,,,261,50.20%,259,49.80%,520
2005,Kennedy-Longfellow,490040,6,182,39.10%,41,8.80%,81,17.40%,157,33.80%,4,0.90%,,,,,248,53.30%,217,46.70%,465
2005,Morse,490045,6,163,40.40%,55,13.60%,42,10.40%,141,35%,2,0.50%,,,,,211,52.40%,192,47.60%,403
2005,Peabody,490050,6,208,43.70%,65,13.70%,37,7.80%,164,34.50%,2,0.40%,,,,,254,53.40%,222,46.60%,476
2005,John M Tobin,490065,6,209,50.70%,78,18.90%,44,10.70%,78,18.90%,3,0.70%,,,,,229,55.60%,183,44.40%,412
2005,Graham and Parks,490080,6,135,32.70%,48,11.60%,29,7%,199,48.20%,2,0.50%,,,,,232,56.20%,181,43.80%,413
2005,Fletcher/Maynard Academy,490090,6,140,60.60%,11,4.80%,50,21.60%,28,12.10%,2,0.90%,,,,,136,58.90%,95,41.10%,231
2006,Cambridge,490000,5,2133,36.80%,634,10.90%,878,15.10%,2040,35.20%,31,0.50%,1,0%,86,1.50%,3017,52%,2786,48%,5803
2006,Maria L. Baldwin,490005,6,123,33.70%,48,13.20%,37,10.10%,152,41.60%,1,0.30%,,0%,4,1.10%,193,52.90%,172,47.10%,365
2006,Amigos School,490006,6,27,9%,7,2.30%,184,61.10%,77,25.60%,3,1%,,0%,3,1%,134,44.50%,167,55.50%,301
2006,Cambridgeport,490007,6,96,31.80%,36,11.90%,34,11.30%,128,42.40%,4,1.30%,,0%,4,1.30%,139,46%,163,54%,302
2006,Haggerty,490020,6,73,28.10%,31,11.90%,18,6.90%,132,50.80%,2,0.80%,,0%,4,1.50%,133,51.20%,127,48.80%,260
2006,"Martin Luther King, Jr.",490030,6,107,48.40%,39,17.60%,22,10%,50,22.60%,,0%,,0%,3,1.40%,113,51.10%,108,48.90%,221
2006,King Open,490035,6,135,27.70%,44,9%,56,11.50%,236,48.50%,4,0.80%,,0%,12,2.50%,242,49.70%,245,50.30%,487
2006,Kennedy-Longfellow,490040,6,143,35.80%,47,11.80%,83,20.80%,118,29.60%,3,0.80%,,0%,5,1.30%,208,52.10%,191,47.90%,399
2006,Morse,490045,6,126,34.90%,51,14.10%,41,11.40%,134,37.10%,1,0.30%,,0%,8,2.20%,185,51.20%,176,48.80%,361
2006,Peabody,490050,6,171,43.30%,51,12.90%,35,8.90%,130,32.90%,1,0.30%,,0%,7,1.80%,219,55.40%,176,44.60%,395
2006,John M Tobin,490065,6,182,52.10%,54,15.50%,34,9.70%,73,20.90%,2,0.60%,,0%,4,1.10%,192,55%,157,45%,349
2006,Graham and Parks,490080,6,119,28.30%,63,15%,31,7.40%,196,46.70%,3,0.70%,1,0.20%,7,1.70%,230,54.80%,190,45.20%,420
2006,Fletcher/Maynard Academy,490090,6,122,58.40%,9,4.30%,50,23.90%,26,12.40%,,0%,,0%,2,1%,122,58.40%,87,41.60%,209
2007,Cambridge,490000,5,2018,36%,616,11%,823,14.70%,2001,35.70%,31,0.60%,7,0.10%,103,1.80%,2906,51.90%,2693,48.10%,5599
2007,Maria L. Baldwin,490005,6,124,33.90%,39,10.70%,35,9.60%,158,43.20%,2,0.50%,,0%,8,2.20%,194,53%,172,47%,366
2007,Amigos School,490006,6,29,9.20%,6,1.90%,185,58.70%,90,28.60%,1,0.30%,,0%,4,1.30%,139,44.10%,176,55.90%,315
2007,Cambridgeport,490007,6,96,35%,27,9.90%,26,9.50%,113,41.20%,3,1.10%,,0%,9,3.30%,121,44.20%,153,55.80%,274
2007,Haggerty,490020,6,75,29.30%,36,14.10%,13,5.10%,125,48.80%,,0%,,0%,7,2.70%,130,50.80%,126,49.20%,256
2007,Martin Luther King Jr.,490030,6,113,52.10%,40,18.40%,20,9.20%,40,18.40%,,0%,,0%,4,1.80%,114,52.50%,103,47.50%,217
