School,id,Type,Function,Contact Name,Address,Town,State,Zip,Phone,Fax,Grade
Agawam: Clifford M Granger,50010,Public School,Principal,Cheryl Salomao,31 So. Westfield Street,Feeding Hills,MA,1030,413-821-0581,413-821-0595,"K,01,02,03,04"
Agawam: James Clark School,50030,Public School,Principal,Shelley Russell,65 Oxford Street,Agawam,MA,1001,413-821-0576,413-821-0594,"K,01,02,03,04"
Agawam: Roberta G. Doering School,50303,Public School,Principal,Susan Federico,68 Main Street,Agawam,MA,1001,413-789-1400,413-789-7337,"05,06,07,08"
Agawam: Robinson Park,50025,Public School,Principal,Nicholas Bernier,65 Begley Street,Agawam,MA,1001,413-821-0584,413-786-9793,"K,01,02,03,04"
Alma del Mar Charter School (District): Alma del Mar Charter School,4090205,Charter School,Principal,Will Gardner,515 Belleville Ave,New Bedford,MA,2746,774-206-6827,774-206-6833,"K,01,02,03,04,05,06,07,08"
Amesbury: Amesbury Elementary,70005,Public School,Principal,Walter Helliesen,20 South Hampton Road,Amesbury,MA,1913,978-388-3659,978-388-4961,"PK,K,01,02,03,04"
Amesbury: Amesbury Middle,70013,Public School,Principal,Michael Curry,220 Main Street,Amesbury,MA,1913,978-388-0515,978-388-1626,"05,06,07,08"
Amesbury: Charles C Cashman Elementary,70010,Public School,Principal,Mary Charette,193 Lions Mouth Road,Amesbury,MA,1913,978-388-4407,978-388-4479,"PK,K,01,02,03,04"
Amherst: Crocker Farm Elementary,80009,Public School,Principal,Derek Shea,280 West Street,Amherst,MA,1002,413-362-1600,413-256-0835,"PK,K,01,02,03,04,05,06"
Amherst: Fort River Elementary,80020,Public School,Principal,Diane Chamberlain,70 So East Street,Amherst,MA,1002,413-362-1200,413-256-5941,"K,01,02,03,04,05,06"
Amherst: Wildwood Elementary,80050,Public School,Principal,Nicholas Yaffe,71 Strong Street,Amherst,MA,1002,413-362-1400,413-549-9519,"K,01,02,03,04,05,06"
Amherst-Pelham: Amherst Regional Middle School,6050405,Public School,Principal,Patricia Bode,170 Chestnut Street,Amherst,MA,1002,413-362-1800,413-549-9812,"07,08"
Andover: Andover West Middle,90310,Public School,Principal,Rebecca Franks,70 Shawsheen Road,Andover,MA,1810,978-247-5400,978-247-5490,"06,07,08"
Andover: Bancroft Elementary,90003,Public School,Principal,Michelle Costa,15 Bancroft Street,Andover,MA,1810,978-247-9500,978-247-9590,"K,01,02,03,04,05"
Andover: Doherty Middle,90305,Public School,Principal,Robin Wilson,50 Bartlet Street,Andover,MA,1810,978-247-9400,978-247-9490,"06,07,08"
Andover: Henry C Sanborn Elementary,90010,Public School,Principal,Jason DiCarlo,90 Lovejoy Road,Andover,MA,1810,978-247-9700,978-247-9790,"K,01,02,03,04,05"
Andover: High Plain Elementary,90004,Public School,Principal,Pamela Lathrop,333 High Plain Road,Andover,MA,1810,978-247-8600,978-247-8690,"K,01,02,03,04,05"
Andover: South Elementary,90020,Public School,Principal,Tracy Crowley,55 Woburn Street,Andover,MA,1810,978-247-9800,978-247-9890,"K,01,02,03,04,05"
Andover: West Elementary,90025,Public School,Principal,Elizabeth Roos,58 Beacon Street,Andover,MA,1810,978-247-5300,978-247-5390,"K,01,02,03,04,05"
Andover: Wood Hill Middle School,90350,Public School,Principal,Patrick Bucco,11 Cross Street,Andover,MA,1810,978-247-8800,978-247-8890,"06,07,08"
Argosy Collegiate Charter School (District): Argosy Collegiate Charter School,35090305,Charter School,Principal,Kristen Pavao,263 Hamlet Street,Fall River,MA,2724,774-451-7280,774-365-4383,"06,07,08,09"
Arlington: Brackett,100010,Public School,Principal,Stephanie Zerchykov,66 Eastern Avenue,Arlington,MA,2476,781-316-3705,781-316-3710,"K,01,02,03,04,05"
Arlington: Cyrus E Dallin,100025,Public School,Principal,Thad Dingman,185 Florence Avenue,Arlington,MA,2476,781-316-3722,781-316-3727,"K,01,02,03,04,05"
Arlington: Hardy,100030,Public School,Principal,Kristin Defrancisco,52 Lake Street,Arlington,MA,2474,781-316-3781,781-316-3717,"K,01,02,03,04,05"
Arlington: John A Bishop,100005,Public School,Principal,Mark McAneny,25 Columbia Road,Arlington,MA,2474,781-316-3791,781-316-3747,"K,01,02,03,04,05"
Arlington: M Norcross Stratton,100055,Public School,Principal,Michael Hanna,180 Mountain Avenue,Arlington,MA,2474,781-316-3754,781-316-3666,"K,01,02,03,04,05"
Arlington: Ottoson Middle,100410,Public School,Principal,Eileen Woods,63 Acton Street,Arlington,MA,2476,781-316-3745,781-641-5436,"06,07,08"
Arlington: Peirce,100045,Public School,Principal,Karen Hartley,85 Park Avenue Ext,Arlington,MA,2474,781-316-3736,781-316-3748,"K,01,02,03,04,05"
Arlington: Thompson,100050,Public School,Principal,Karen Donato,187 Everett Street,Arlington,MA,2474,781-316-3768,781-316-1419,"K,01,02,03,04,05"
Ashburnham-Westminster: Briggs Elementary,6100025,Public School,Principal,Andrea McGrath,96 Williams Rd,Ashburnham,MA,1430,978-827-5750,978-827-1411,"PK,K,01,02,03,04,05"
Ashburnham-Westminster: Overlook Middle School,6100305,Public School,Principal,Phillip Saisa,10 Oakmont Drive,Ashburnham,MA,1430,978-827-1425,978-827-1423,"06,07,08"
Ashburnham-Westminster: Westminster Elementary,6100005,Public School,Principal,Patricia Marquis,9 Academy Hill,Westminster,MA,1473,978-874-2043,978-874-7308,"02,03,04,05"
Ashland: Ashland Middle,140405,Public School,Principal,David DiGirolamo,87 West Union Street,Ashland,MA,1721,508-881-0167,508-881-0169,"06,07,08"
Ashland: David Mindess,140015,Public School,Principal,Michael Caira,90 Concord Street,Ashland,MA,1721,508-881-0166,508-881-0153,"03,04,05"
Athol-Royalston: Athol Community Elementary School,6150020,Public School,Principal,Michael Leander,1064 Pleasant Street,Athol,MA,1331,978-249-2406,978-249-2428,"PK,K,01,02,03,04"
Athol-Royalston: Athol-Royalston Middle School,6150305,Public School,Principal,Thomas Telicki,1062 Pleasant Street,Athol,MA,1331,978-249-2430,978-249-0055,"05,06,07,08"
Athol-Royalston: Royalston Community School,6150050,Public School,Principal,Janeth Williams,96 Winchendon Rd,Royalston,MA,1368,978-249-2900,978-249-4110,"K,01,02,03,04,05,06"
Atlantis Charter (District): Atlantis Charter School,4910550,Charter School,Principal,Robert Beatty,991 Jefferson St,Fall River,MA,2721,508-646-6410,508-672-3489,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Attleboro: A. Irvin Studley Elementary School,160001,Public School,Principal,Joanne DiPalma,299 Rathbun Willard Drive,Attleboro,MA,2703,508-222-2621,508-226-0419,"K,01,02,03,04"
Attleboro: Cyril K. Brennan Middle School,160315,Public School,Principal,Frederick Souza,320 Rathbun Willard Drive,Attleboro,MA,2703,508-222-6260,508-223-1555,"05,06,07,08"
Attleboro: Hill-Roberts Elementary School,160045,Public School,Principal,Frank Rich,80 Roy Avenue,Attleboro,MA,2703,508-399-7560,508-399-7284,"K,01,02,03,04"
Attleboro: Hyman Fine Elementary School,160040,Public School,Principal,Patricia Martin,790 Oak Hill Avenue,Attleboro,MA,2703,508-222-1419,508-226-0255,"K,01,02,03,04"
Attleboro: Peter Thacher Elementary School,160050,Public School,Principal,Veronica Learned,160 James Street,Attleboro,MA,2703,508-226-4162,508-226-4165,"K,01,02,03,04"
Attleboro: Robert J. Coelho Middle School,160305,Public School,Principal,Andrew Boles,99 Brown Street,Attleboro,MA,2703,508-761-7551,508-399-6506,"05,06,07,08"
Attleboro: Thomas Willett Elementary School,160035,Public School,Principal,Jeffrey Cateon,32 Watson Avenue,Attleboro,MA,2703,508-222-0286,508-223-1536,"K,01,02,03,04"
Attleboro: Wamsutta Middle School,160320,Public School,Principal,Joseph Connor,300 Locust Street,Attleboro,MA,2703,508-223-1540,508-226-2087,"05,06,07,08"
Auburn: Auburn Middle,170305,Public School,Principal,Joseph Gagnon,9 West Street,Auburn,MA,1501,508-832-7722,508-832-8655,"06,07,08"
Auburn: Swanson Road Intermediate School,170030,Public School,Principal,Susan Lopez,10 Swanson Road,Auburn,MA,1501,508-832-7744,508-832-7732,"03,04,05"
Avon: Avon Middle High School,180510,Public School,Principal,Dawn Stockwell,287 West Main Street,Avon,MA,2322,508-583-4822,508-588-5501,"07,08,09,10,11,12"
Avon: Ralph D Butler,180010,Public School,Principal,Darrin Reynolds,1 Patrick Clark Drive,Avon,MA,2322,508-587-7009,508-583-7193,"PK,K,01,02,03,04,05,06"
Ayer Shirley School District: Ayer Shirley Regional Middle School,6160305,Public School,Principal,Roberta Aikey,1 Hospital Road,Shirley,MA,1464,978-772-8600,978-425-0474,"06,07,08"
Ayer Shirley School District: Lura A. White Elementary School,6160001,Public School,Principal,Varsha Desai,34 Lancaster Road,Shirley,MA,1464,978-772-8600,978-425-2639,"PK,K,01,02,03,04,05"
Ayer Shirley School District: Page Hilltop Elementary School,6160002,Public School,Principal,Frederick Deppe,115 Washington Street,Ayer,MA,1432,978-772-8600,978-772-8631,"PK,K,01,02,03,04,05"
Barnstable: Barnstable High,200505,Public School,Principal,Patrick Clark,744 West Main Street,Hyannis,MA,2601,508-790-6445,508-790-6430,"08,09,10,11,12"
Barnstable: Barnstable Intermediate School,200315,Public School,Principal,Beth Deneen,895 Falmouth Road,Hyannis,MA,2601,508-790-6460,508-790-6435,"06,07"
Barnstable: Barnstable United Elementary School,200050,Public School,Principal,James Anderson,730 Osterville West Barnstable Road,Marston Mills,MA,2648,508-420-2272,508-420-0185,"04,05"
Barnstable: Centerville Elementary,200010,Public School,Principal,Matthew Scheufele,658 Bay Ln,Centerville,MA,2632,508-790-9890,508-790-9895,"K,01,02,03"
Barnstable: Hyannis West Elementary,200025,Public School,Principal,Eleanor Amato,549 West Main Street,Hyannis,MA,2601,508-790-6480,508-790-9844,"K,01,02,03"
Barnstable: West Barnstable Elementary,200005,Public School,Principal,Karen Cloutier,2463 Main St Route 6A,West Barnstable,MA,2668,508-362-4949,508-362-1740,"K,01,02,03"
Barnstable: West Villages Elementary School,200045,Public School,Principal,Kirk Gibbons,760 Osterville-West Barnstable Road,Marstons Mills,MA,2648,508-420-1100,508-420-1486,"K,01,02,03"
Barnstable Community Horace Mann Charter Public (District): Barnstable Community Horace Mann Charter Public School,4270010,Charter School,Principal,Sheila Kukstis,165 Bearses Way,Hyannis,MA,2601,508-790-6485,508-790-6432,"K,01,02,03"
Baystate Academy Charter Public School (District): Baystate Academy Charter Public School,35020405,Charter School,Principal,Joretha Lewis,2001 Roosevelt Avenue,Springfield,MA,1104,413-366-5100,413-366-5101,"06,07,08,09,10,11"
Bedford: John Glenn Middle,230305,Public School,Principal,Kevin Tracey,99 McMahon Road,Bedford,MA,1730,781-275-3201,781-275-7632,"06,07,08"
Bedford: Lt Job Lane School,230012,Public School,Principal,Robert Ackerman,66 Sweetwater Avenue,Bedford,MA,1730,781-275-7606,781-275-4722,"03,04,05"
Belchertown: Chestnut Hill Community School,240006,Public School,Principal,Jennifer Champagne,59 State Street,Belchertown,MA,1007,413-323-0437,413-323-0459,"04,05,06"
Belchertown: Jabish Middle School,240025,Public School,Principal,Thomas Ruscio,62 North Washington Street,Belchertown,MA,1007,413-323-0433,413-323-0450,"07,08"
Belchertown: Swift River Elementary,240018,Public School,Principal,Robert Kuhn,57 State Street,Belchertown,MA,1007,413-323-0472,413-323-0492,"01,02,03"
Bellingham: Bellingham High School,250505,Public School,Principal,Lucas Giguere,60 Blackstone Street,Bellingham,MA,2019,508-966-3761,508-966-4183,"08,09,10,11,12"
Bellingham: Bellingham Memorial School,250315,Public School,Principal,Jeffrey Croteau,130 Blackstone Street,Bellingham,MA,2019,508-883-2330,508-883-2037,"04,05,06,07"
Bellingham: South Elementary,250020,Public School,Principal,Judith Lamarre,70 Harpin Street,Bellingham,MA,2019,508-883-8001,508-883-5081,"K,01,02,03"
Bellingham: Stall Brook,250025,Public School,Principal,Brenda Maurao,342 Hartford Avenue,Bellingham,MA,2019,508-966-0451,508-966-4679,"K,01,02,03"
Belmont: Daniel Butler,260015,Public School,Principal,Danielle Betancourt,90 White Street,Belmont,MA,2478,617-993-5550,617-484-7921,"K,01,02,03,04"
Belmont: Mary Lee Burbank,260010,Public School,Principal,Tricia Clifford,266 School Street,Belmont,MA,2478,617-993-5500,617-484-2050,"K,01,02,03,04"
Belmont: Roger E Wellington,260035,Public School,Principal,Annemarie Stewart,121 Orchard Street,Belmont,MA,2478,617-993-5600,617-484-1790,"PK,K,01,02,03,04"
Belmont: Winn Brook,260005,Public School,Principal,Janet Carey,97 Waterhouse Rd,Belmont,MA,2478,617-993-5700,617-484-2657,"K,01,02,03,04"
Belmont: Winthrop L Chenery Middle,260305,Public School,Principal,Michael McAllister,95 Washington Street,Belmont,MA,2478,617-993-5800,617-993-5809,"05,06,07,08"
Benjamin Banneker Charter Public (District): Benjamin Banneker Charter Public School,4200205,Charter School,Principal,Sherley Bretous-Carre,21 Notre Dame Avenue,Cambridge,MA,2140,617-497-7771,617-497-4223,"PK,K,01,02,03,04,05,06"
Benjamin Franklin Classical Charter Public (District): Benjamin Franklin Classical Charter Public School,4470205,Charter School,Principal,Heather Zolnowski,201 Main Street,Franklin,MA,2038,508-541-3434,508-541-5396,"K,01,02,03,04,05,06,07,08"
Bentley Academy Charter School (District): Bentley Academy Charter School,35110205,Charter School,Principal,Marlena Afonso,25 Memorial Drive,Salem,MA,1970,978-740-1260,978-740-1164,"K,01,02,03,04,05"
Berkley: Berkley Community School,270010,Public School,Principal,Jennifer Francisco,59 South Main Street,Berkley,MA,2779,508-822-9550,508-822-3773,"PK,K,01,02,03,04"
Berkley: Berkley Middle School,270305,Public School,Principal,Kimberly Hebert,21 North Main Street,Berkley,MA,2779,508-884-9434,508-386-1044,"05,06,07,08"
Berkshire Arts and Technology Charter Public (District): Berkshire Arts and Technology Charter Public School,4140305,Charter School,Principal,April West,One Commercial Place,Adams,MA,1220,413-743-7311,413-743-7327,"06,07,08,09,10,11,12"
Berkshire Hills: Monument Valley Regional Middle School,6180310,Public School,Principal,Benjamin Doren,313 Monument Valley Rd,Great Barrington,MA,1230,413-644-2300,413-644-2394,"05,06,07,08"
Berkshire Hills: Muddy Brook Regional Elementary School,6180035,Public School,Principal,Mary Berle,318 Monumnet Valley Rd,Great Barrington,MA,1230,413-644-2350,413-644-2395,"PK,K,01,02,03,04"
Berlin: Berlin Memorial,280005,Public School,Principal,John Campbell,34 South Street,Berlin,MA,1503,978-838-2417,978-838-2395,"PK,K,01,02,03,04,05"
Berlin-Boylston: Tahanto Regional High,6200505,Public School,Principal,Diane Tucceri,1001 Main Street,Boylston,MA,1505,508-869-2333,508-869-0175,"06,07,08,09,10,11,12"
Beverly: Ayers/Ryal Side School,300055,Public School,Principal,Debra Lay,40 Woodland Avenue,Beverly,MA,1915,978-921-6116,978-921-1995,"K,01,02,03,04,05"
Beverly: Briscoe Middle,300305,Public School,Principal,Matthew Poska,7 Sohier Rd,Beverly,MA,1915,978-921-6103,978-927-7781,"06,07,08"
Beverly: Centerville Elementary,300010,Public School,Principal,Julie Smith,17 Hull Street,Beverly,MA,1915,978-921-6120,978-921-8571,"K,01,02,03,04,05"
Beverly: Cove Elementary,300015,Public School,Principal,Lisa Fiandaca,20 Eisenhower Avenue,Beverly,MA,1915,978-921-6121,978-921-8551,"K,01,02,03,04,05"
Beverly: Hannah Elementary,300033,Public School,Principal,Gabrielle Montevecchi,41R Brimbal Avenue,Beverly,MA,1915,978-921-6126,978-921-6084,"K,01,02,03,04,05"
Beverly: North Beverly Elementary,300040,Public School,Principal,Erin Brown,48 Putnam Street,Beverly,MA,1915,978-921-6130,978-921-4007,"K,01,02,03,04,05"
Billerica: Eugene C Vining,310030,Public School,Principal,Christine Gibelli,121 Lexington Rd,Billerica,MA,1821,978-528-8630,978-436-9587,"K,01,02,03,04,05"
Billerica: Frederick J Dutile,310007,Public School,Principal,Christine Balzotti,10 Biagiotti Way,North Billerica,MA,1862,978-528-8530,978-436-9548,"K,01,02,03,04,05"
Billerica: Hajjar Elementary,310026,Public School,Principal,Elizabeth Devine,59 Rogers Street,Billerica,MA,1862,978-528-8550,978-436-9556,"K,01,02,03,04,05"
Billerica: John F Kennedy,310012,Public School,Principal,David Marble,20 Kimbrough Rd,Billerica,MA,1821,978-528-8570,978-436-9567,"K,01,02,03,04,05"
Billerica: Locke Middle,310310,Public School,Principal,Anthony Garas,110 Allen Rd,Billerica,MA,1821,978-528-8650,978-528-8659,"06,07,08"
Billerica: Marshall Middle School,310305,Public School,Principal,Michael Rossi,15 Floyd Street,Billerica,MA,1821,978-528-8670,978-528-8679,"06,07,08"
Billerica: Parker,310015,Public School,Principal,Suzanne Sullivan,52 River Street,Billerica,MA,1821,978-528-8610,978-528-8619,"K,01,02,03,04,05"
Billerica: Thomas Ditson,310005,Public School,Principal,Victoria Hatem,39 Cook Street,Billerica,MA,1821,978-528-8510,978-436-9537,"K,01,02,03,04,05"
Blackstone-Millville: A F Maloney,6220015,Public School,Principal,Carol Brown,200 Lincoln Street,Blackstone,MA,1504,508-876-0119,508-876-0158,"03,04,05"
Blackstone-Millville: Frederick W. Hartnett Middle School,6220405,Public School,Principal,Tonya Curt-Hoard,35 Federal Street,Blackstone,MA,1504,508-876-0190,508-876-0198,"06,07,08"
Blackstone-Millville: Millville Elementary,6220010,Public School,Principal,Paul Haughey,122 Berthelette Way,Millville,MA,1529,508-876-0177,508-883-0339,"PK,K,01,02,03,04,05"
Boston: Blackstone,350390,Public School,Principal,Jamel Adkins-sharif,380 Shawmut Avenue,Boston,MA,2118,617-635-8471,617-635-7975,"PK,K,01,02,03,04,05"
Boston: Boston Latin,350560,Public School,Principal,Rachel Skerritt,78 Avenue Louis Pasteur,Boston,MA,2115,617-635-8895,617-635-7883,"07,08,09,10,11,12"
Boston: Boston Latin Academy,350545,Public School,Principal,Chimdi Uchendu,205 Townsend Street,Dorchester,MA,2121,617-635-9957,617-635-6696,"07,08,09,10,11,12"
Boston: Boston Teachers Union School,350012,Public School,Principal,Lindsay Chaves,25 Walk Hill Street,Jamaica Plain,MA,2130,617-635-7717,617-635-6982,"PK,K,01,02,03,04,05,06,07,08"
Boston: Charles H Taylor,350054,Public School,Principal,Jennifer Marks,1060 Morton Street,Mattapan,MA,2126,617-635-8731,617-635-6877,"PK,K,01,02,03,04,05"
Boston: Charles Sumner,350052,Public School,Principal,Catherine MacCuish,15 Basile Street,Roslindale,MA,2131,617-635-8131,617-635-8136,"PK,K,01,02,03,04,05"
Boston: Clarence R Edwards Middle,350430,Public School,Principal,Laryssa Doherty,28 Walker Street,Charlestown,MA,2129,617-635-8516,617-635-8522,"06,07,08"
Boston: Condon K-8,350146,Public School,Principal,Robert Chisholm,200 D Street,South Boston,MA,2127,617-635-8608,617-635-8611,"PK,K,01,02,03,04,05,06,07,08"
Boston: Curley K-8 School,350020,Public School,Principal,Katherine Grassa,493 Centre St.,Jamaica Plain,MA,2130,617-635-8176,617-635-8184,"PK,K,01,02,03,04,05,06,07,08"
Boston: Curtis Guild,350062,Public School,Principal,Karen McCarthy,195 Leyden Street,East Boston,MA,2128,617-635-8523,617-635-8526,"PK,K,01,02,03,04,05"
Boston: Dante Alighieri Montessori School,350066,Public School,Principal,Glenda Colon,37 Gove Street,East Boston,MA,2128,617-635-8529,617-635-7691,"PK,K,01,02,03,04,05"
Boston: David A Ellis,350072,Public School,Principal,Cynthia Jacobs,302 Walnut Avenue,Roxbury,MA,2119,617-635-8257,617-635-8262,"PK,K,01,02,03,04,05"
Boston: Dearborn,350074,Public School,Principal,Lisa Gilbert-Smith,60 Washington St,Dorchester,MA,2121,617-635-8412,617-635-8419,"06,07,08,09,10,11,12"
Boston: Dennis C Haley,350077,Public School,Principal,Kathleen Sullivan,570 American Legion Highway,Roslindale,MA,2131,617-635-8169,617-635-8173,"PK,K,01,02,03,04,05,06,07,08"
Boston: Donald Mckay,350080,Public School,Principal,Jordan Weymer,122 Cottage Street,East Boston,MA,2128,617-635-8510,617-635-8515,"PK,K,01,02,03,04,05,06,07,08"
Boston: Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,Public School,Principal,Benjamin Rockoff,108 Babson Street,Mattapan,MA,2126,617-635-7680,617-635-6491,"PK,K,01,02,03"
Boston: Dr. William Henderson Upper,350426,Public School,Principal,Patricia Lampron,18 Croftland Av,Dorchester,MA,2124,617-635-6365,617-635-6367,"02,03,04,05,06,07,08,09,10,11,12"
Boston: Edison K-8,350375,Public School,Principal,Samantha Varano,60 Glenmont Road,Brighton,MA,2135,617-635-8436,617-635-8446,"PK,K,01,02,03,04,05,06,07,08"
Boston: Edward Everett,350088,Public School,Principal,Karen Cahill,71 Pleasant Street,Dorchester,MA,2125,617-635-8778,617-635-8780,"PK,K,01,02,03,04,05"
Boston: Eliot Elementary,350096,Public School,Principal,Traci Griffith,16 Charter Street,Boston,MA,2113,617-635-8545,617-635-8550,"PK,K,01,02,03,04,05,06,07,08"
Boston: Ellis Mendell,350100,Public School,Principal,Julia Bott,164 School Street,Roxbury,MA,2119,617-635-8234,617-635-8238,"PK,K,01,02,03,04,05"
Boston: Franklin D Roosevelt,350116,Public School,Principal,Lynda-lee Sheridan,95 Needham Road,Hyde Park,MA,2136,617-635-8676,617-635-8679,"PK,K,01,02,03,04,05,06,07,08"
Boston: Gardner Pilot Academy,350326,Public School,Principal,Erica Herman,30 Athol Street,Allston,MA,2134,617-635-8365,617-635-7812,"PK,K,01,02,03,04,05,06,07,08"
Boston: George H Conley,350122,Public School,Principal,Joseph Foley,450 Poplar Street,Roslindale,MA,2131,617-635-8099,617-635-6417,"PK,K,01,02,03,04,05"
Boston: Harvard-Kent,350200,Public School,Principal,Jason Gallagher,50 Bunker Hill Street,Charlestown,MA,2129,617-635-8358,617-635-8364,"PK,K,01,02,03,04,05"
Boston: Henry Grew,350135,Public School,Principal,Christine Connolly,40 Gordon Avenue,Hyde Park,MA,2136,617-635-8715,617-635-8718,"PK,K,01,02,03,04,05"
Boston: Higginson/Lewis K-8,350377,Public School,Principal,Darlene Ratliff,131 Walnut Avenue,Roxbury,MA,2119,617-635-8137,617-635-8252,"01,02,03,04,05,06,07,08"
Boston: Horace Mann School for the Deaf,350750,Public School,Principal,Maritza Ciliberto,40 Armington Street,Allston,MA,2134,617-635-8534,617-635-6379,"PK,K,01,02,03,05,06,07,08,09,10,11,12"
Boston: Hugh Roe O'Donnell,350141,Public School,Principal,Sonie Felix,33 Trenton Street,East Boston,MA,2128,617-635-8454,617-635-8459,"PK,K,01,02,03,04,05"
Boston: Jackson Mann,350013,Public School,Principal,Andy Tuite,40 Armington Street,Allston,MA,2134,617-635-8532,617-635-6379,"PK,K,01,02,03,04,05,06,07,08"
Boston: James J Chittick,350154,Public School,Principal,Michelle Burnett-Herndon,154 Ruskindale Road,Mattapan,MA,2126,617-635-8652,617-635-6925,"PK,K,01,02,03,04,05"
Boston: James Otis,350156,Public School,Principal,Paula Cerqueira-Goncalve,218 Marion Street,East Boston,MA,2128,617-635-8372,617-635-8376,"PK,K,01,02,03,04,05"
Boston: James P Timilty Middle,350485,Public School,Principal,Tsheba Martin,205 Roxbury Street,Roxbury,MA,2119,617-635-8109,617-635-8115,"06,07,08"
Boston: James W Hennigan,350153,Public School,Principal,Maria Cordon,200 Heath Street,Jamaica Plain,MA,2130,617-635-8264,617-635-8271,"K,01,02,03,04,05,06,07,08"
Boston: John D Philbrick,350172,Public School,Principal,Danladi Bobbitt,40 Philbrick Street,Roslindale,MA,2131,617-635-8069,617-635-7927,"PK,K,01,02,03,04,05"
Boston: John F Kennedy,350166,Public School,Principal,Christine Copeland,7 Bolster Street,Jamaica Plain,MA,2130,617-635-8127,617-635-8130,"PK,K,01,02,03,04,05"
Boston: John W McCormack,350179,Public School,Principal,Elvis Henriquez,315 Mt Vernon Street,Dorchester,MA,2125,617-635-8657,617-635-9788,"06,07,08"
Boston: John Winthrop,350180,Public School,Principal,Leah Blake,35 Brookford Street,Dorchester,MA,2125,617-635-8379,617-635-9396,"PK,K,01,02,03,04,05"
Boston: Joseph J Hurley,350182,Public School,Principal,Marjorie Soto,70 Worcester Street,Boston,MA,2118,617-635-8489,617-635-6868,"PK,K,01,02,03,04,05,06,07,08"
Boston: Joseph Lee,350183,Public School,Principal,Kimberly Curtis,155 Talbot Avenue,Dorchester,MA,2124,617-635-8687,617-635-8692,"PK,K,01,02,03,04,05,06,07,08"
Boston: Joseph P Manning,350184,Public School,Principal,Ethan d'Ablemont Burnes,130 Louders Lane,Jamaica Plain,MA,2130,617-635-8102,617-635-9348,"PK,K,01,02,03,04,05"
